City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,82.6,broken clouds,3.0707,172.7902,Isles Sunset Lodge
4,Zwedru,LR,80.82,scattered clouds,6.0667,-8.1281,Elijah Worjloh
6,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
11,Kahului,US,78.06,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
12,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
16,Hilo,US,78.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Sao Jose Da Coroa Grande,BR,80.98,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
20,Toamasina,MG,77.0,light rain,-18.1667,49.3833,Hotel H1
22,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
28,Rikitea,PF,77.4,light rain,-23.1203,-134.9692,People ThankYou
30,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
33,Abu Zabad,SD,75.88,few clouds,12.35,29.25,حامد محمد نور
37,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,Saint-Leu,RE,77.86,light rain,-21.15,55.2833,La Caz Oceane
41,Kandrian,PG,77.88,overcast clouds,-6.2167,149.55,Kandrian Station
46,Anori,BR,77.43,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
49,Faanui,PF,80.58,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Kavaratti,IN,80.96,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
59,Castro,BR,82.09,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
63,Tena,EC,87.96,moderate rain,-0.9833,-77.8167,Hostal Tena Ñaui
65,Zaraza,VE,79.45,overcast clouds,9.3503,-65.3245,Hotel Zaraza
67,Dabakala,CI,83.37,broken clouds,8.3667,-4.4333,Hôtel Campement
71,Bambous Virieux,MU,79.05,few clouds,-20.3428,57.7575,Casa Tia Villa
74,Kulhudhuffushi,MV,82.17,overcast clouds,6.6221,73.07,Haajy Guest House 1
79,Domoni,KM,78.69,overcast clouds,-12.2569,44.5319,Al Djadid
