City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yar-Sale,RU,66.8333,70.8333,-12.32,100,89,5.03,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,51.91,32,0,23.02,clear sky
2,Butaritari,KI,3.0707,172.7902,82.6,72,57,18.32,broken clouds
3,Zeya,RU,53.75,127.2667,-6.29,88,12,2.3,few clouds
4,Zwedru,LR,6.0667,-8.1281,80.82,56,35,3.87,scattered clouds
5,Hermanus,ZA,-34.4187,19.2345,66.9,84,98,11.45,overcast clouds
6,Saint-Pierre,RE,-21.3393,55.4781,78.48,69,0,6.91,clear sky
7,Narsaq,GL,60.9167,-46.05,17.82,78,4,7.85,clear sky
8,Svetlogorsk,BY,52.6333,29.7333,37.42,94,100,6.08,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,57.47,67,89,0.13,overcast clouds
10,Geraldton,AU,-28.7667,114.6,58.12,82,91,8.05,overcast clouds
11,Kahului,US,20.8947,-156.47,78.06,80,40,18.41,scattered clouds
12,Port Hedland,AU,-20.3167,118.5667,84.25,79,75,9.22,broken clouds
13,Jamestown,US,42.097,-79.2353,44.71,43,0,13.0,clear sky
14,Saldanha,ZA,-33.0117,17.9442,64.45,92,100,13.73,overcast clouds
15,Baghmara,IN,23.795,86.2085,60.96,42,0,3.89,clear sky
16,Hilo,US,19.7297,-155.09,78.28,1,15,8.12,few clouds
17,Kirov,RU,58.5966,49.6601,2.1,93,40,4.94,scattered clouds
18,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.98,73,16,10.49,few clouds
19,Raybag,IN,16.4833,74.7833,73.56,65,100,5.91,overcast clouds
20,Toamasina,MG,-18.1667,49.3833,77.0,88,40,5.75,light rain
21,Ribeira Grande,PT,38.5167,-28.7,57.6,54,40,9.22,scattered clouds
22,Vaini,TO,-21.2,-175.2,77.16,94,75,8.05,light rain
23,Tsabong,BW,-26.0217,22.401,72.75,72,100,31.7,light rain
24,Mar Del Plata,AR,-38.0023,-57.5575,73.42,82,75,4.0,broken clouds
25,Kaitangata,NZ,-46.2817,169.8464,53.65,70,77,1.32,broken clouds
26,Genhe,CN,50.7833,121.5167,0.75,97,100,3.06,light snow
27,Severo-Kurilsk,RU,50.6789,156.125,33.04,94,87,11.61,light snow
28,Rikitea,PF,-23.1203,-134.9692,77.4,76,88,10.0,light rain
29,Van,TR,38.4924,43.3831,29.55,93,20,2.3,few clouds
30,Georgetown,MY,5.4112,100.3354,80.89,79,40,5.99,scattered clouds
31,Cape Town,ZA,-33.9258,18.4232,67.12,82,20,3.0,few clouds
32,Albany,US,42.6001,-73.9662,45.63,31,0,1.01,clear sky
33,Abu Zabad,SD,12.35,29.25,75.88,25,17,9.19,few clouds
34,Debno,PL,52.739,14.698,37.53,99,100,7.54,overcast clouds
35,Chapais,CA,49.7834,-74.8492,24.58,95,100,9.62,light snow
36,Abu Samrah,SY,35.3029,37.1841,56.61,47,88,7.16,overcast clouds
37,Mahebourg,MU,-20.4081,57.7,79.09,69,20,8.05,few clouds
38,Nanortalik,GL,60.1432,-45.2371,21.0,77,13,5.06,few clouds
39,Saint-Leu,RE,-21.15,55.2833,77.86,76,63,6.82,light rain
40,Ushuaia,AR,-54.8,-68.3,44.26,76,75,36.82,drizzle
41,Kandrian,PG,-6.2167,149.55,77.88,90,100,5.77,overcast clouds
42,Itoman,JP,26.1247,127.6694,68.4,78,75,19.57,broken clouds
43,Dangtu,CN,31.5723,118.4928,35.65,58,3,6.31,clear sky
44,North Platte,US,41.1239,-100.7654,58.24,23,1,1.01,clear sky
45,Bluff,NZ,-46.6,168.3333,57.79,76,31,2.17,scattered clouds
46,Anori,BR,-3.7728,-61.6442,77.43,94,100,2.59,overcast clouds
47,Hofn,IS,64.2539,-15.2082,40.82,84,100,3.89,light rain
48,Norman Wells,CA,65.282,-126.8329,-2.16,71,90,16.11,light snow
49,Faanui,PF,-16.4833,-151.75,80.58,72,97,8.5,light rain
50,Lompoc,US,34.6391,-120.4579,64.42,57,1,0.0,clear sky
51,Saint-Philippe,RE,-21.3585,55.7679,78.39,78,79,14.72,broken clouds
52,Lebu,CL,-37.6167,-73.65,58.08,59,1,9.37,clear sky
53,Mandalgovi,MN,45.7625,106.2708,12.47,44,0,14.23,clear sky
54,Cordoba,AR,-31.4135,-64.1811,73.42,69,75,4.61,light rain
55,Saint George,US,37.1041,-113.5841,59.47,36,5,1.99,clear sky
56,Kavaratti,IN,10.5669,72.642,80.96,74,81,2.28,broken clouds
57,Tokmak,UA,47.2514,35.7058,40.23,71,100,15.19,overcast clouds
58,Bredasdorp,ZA,-34.5322,20.0403,65.28,86,100,5.08,overcast clouds
59,Castro,BR,-24.7911,-50.0119,82.09,41,99,5.61,overcast clouds
60,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.39,55,75,33.38,broken clouds
61,Moree,AU,-29.4667,149.85,60.82,82,0,8.05,clear sky
62,Hobart,AU,-42.8794,147.3294,54.27,84,75,1.99,broken clouds
63,Tena,EC,-0.9833,-77.8167,87.96,96,97,1.1,moderate rain
64,Barrow,US,71.2906,-156.7887,-11.18,77,20,13.8,few clouds
65,Zaraza,VE,9.3503,-65.3245,79.45,77,95,6.8,overcast clouds
66,Kaeo,NZ,-35.1,173.7833,71.33,97,100,5.7,overcast clouds
67,Dabakala,CI,8.3667,-4.4333,83.37,27,52,2.35,broken clouds
68,Buraydah,SA,26.326,43.975,57.65,31,53,6.26,broken clouds
69,Airai,TL,-8.9266,125.4092,61.12,90,100,1.61,overcast clouds
70,Kodiak,US,57.79,-152.4072,9.91,61,20,23.02,few clouds
71,Bambous Virieux,MU,-20.3428,57.7575,79.05,69,20,8.05,few clouds
72,Kawalu,ID,-7.3817,108.2082,72.86,97,100,1.97,overcast clouds
73,Berlevag,NO,70.8578,29.0864,26.55,86,40,16.11,scattered clouds
74,Kulhudhuffushi,MV,6.6221,73.07,82.17,75,88,8.95,overcast clouds
75,Omsukchan,RU,62.5333,155.8,-4.92,99,100,5.39,light snow
76,Kruisfontein,ZA,-34.0033,24.7314,69.89,87,100,7.72,overcast clouds
77,Esperance,AU,-33.8667,121.9,49.84,63,60,3.74,broken clouds
78,Namibe,AO,-15.1961,12.1522,70.74,79,44,2.71,scattered clouds
