City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hofn,IS,2021-12-09 16:00:47,64.2539,-15.2082,39.22,65,90,8.05
1,Raudeberg,NO,2021-12-09 16:00:48,61.9875,5.1352,39.87,60,96,7.0
2,Upernavik,GL,2021-12-09 15:59:09,72.7868,-56.1549,8.26,96,93,10.89
3,Tuktoyaktuk,CA,2021-12-09 15:59:02,69.4541,-133.0374,-5.8,84,1,5.75
4,Udachnyy,RU,2021-12-09 16:00:48,66.4167,112.4,-7.2,89,100,18.77
5,Vaini,TO,2021-12-09 15:58:53,-21.2,-175.2,71.76,94,20,5.75
6,Esperance,AU,2021-12-09 16:00:49,-33.8667,121.9,64.53,67,97,21.05
7,Ushuaia,AR,2021-12-09 15:54:22,-54.8,-68.3,58.62,54,40,25.32
8,Hobart,AU,2021-12-09 15:58:07,-42.8794,147.3294,54.27,83,90,1.01
9,Bengkulu,ID,2021-12-09 15:59:41,-3.8004,102.2655,76.75,89,100,4.34
10,Georgetown,MY,2021-12-09 15:59:31,5.4112,100.3354,82.89,76,20,1.01
11,Mataura,NZ,2021-12-09 15:59:01,-46.1927,168.8643,49.48,91,96,1.34
12,Tsilna,RU,2021-12-09 16:00:50,54.5953,48.1414,28.98,90,100,3.29
13,Chumikan,RU,2021-12-09 15:58:51,54.7183,135.315,16.07,83,76,13.91
14,Westport,US,2021-12-09 16:00:03,41.1415,-73.3579,38.19,65,59,3.0
15,Punta Arenas,CL,2021-12-09 15:59:08,-53.15,-70.9167,60.91,44,20,23.02
16,Sao Filipe,CV,2021-12-09 16:00:14,14.8961,-24.4956,77.23,62,90,10.8
17,Mbini,GQ,2021-12-09 16:00:51,1.574,9.6134,82.4,76,49,5.93
18,Muros,ES,2021-12-09 15:59:52,42.7762,-9.0603,61.84,85,91,14.36
19,Kahului,US,2021-12-09 15:59:51,20.8947,-156.47,76.84,80,19,4.0
20,Vardo,NO,2021-12-09 15:58:48,70.3705,31.1107,16.0,85,75,11.5
21,Cape Town,ZA,2021-12-09 15:58:45,-33.9258,18.4232,78.12,63,20,3.0
22,Zelenoborsk,RU,2021-12-09 16:00:52,61.4669,64.0333,10.78,96,100,4.45
23,Atuona,PF,2021-12-09 15:58:50,-9.8,-139.0333,78.03,67,88,14.47
24,Souillac,MU,2021-12-09 16:00:52,-20.5167,57.5167,78.37,67,17,10.51
25,Chokurdakh,RU,2021-12-09 16:00:52,70.6333,147.9167,-47.47,100,85,3.74
26,Jamestown,US,2021-12-09 15:58:09,42.097,-79.2353,31.08,83,90,5.01
27,Kholodnyy,RU,2021-12-09 16:00:53,62.7167,147.95,-52.6,94,46,0.22
28,Xining,CN,2021-12-09 16:00:12,36.6167,101.7667,31.03,49,100,3.2
29,Lompoc,US,2021-12-09 15:59:43,34.6391,-120.4579,56.25,90,90,5.75
30,Kirakira,SB,2021-12-09 15:59:11,-10.4544,161.9205,80.06,85,100,2.62
31,Xichang,CN,2021-12-09 16:00:53,27.8964,102.2634,50.92,86,70,2.3
32,La Ronge,CA,2021-12-09 16:00:54,55.1001,-105.2842,19.62,86,90,12.66
33,Lixourion,GR,2021-12-09 16:00:54,38.2019,20.4314,60.55,78,2,22.97
34,Port Alfred,ZA,2021-12-09 15:54:50,-33.5906,26.891,73.76,84,34,8.41
35,Beringovskiy,RU,2021-12-09 16:00:55,63.05,179.3167,-6.88,89,93,20.45
36,Longyearbyen,SJ,2021-12-09 16:00:01,78.2186,15.6401,24.64,80,75,3.44
37,Avarua,CK,2021-12-09 15:59:34,-21.2078,-159.775,75.25,88,75,2.3
38,Saldanha,ZA,2021-12-09 15:59:42,-33.0117,17.9442,78.85,87,72,23.42
39,Asau,RO,2021-12-09 15:59:51,46.4333,26.4,33.96,82,84,1.43
40,Bluff,NZ,2021-12-09 15:58:53,-46.6,168.3333,49.8,69,23,16.11
41,Khani,GE,2021-12-09 16:00:55,41.9563,42.9566,42.37,99,100,1.97
42,Marawi,PH,2021-12-09 16:00:56,7.9986,124.2928,68.65,99,100,3.24
43,Huamachuco,PE,2021-12-09 16:00:56,-7.8,-78.0667,62.87,62,90,6.6
44,Lethem,GY,2021-12-09 16:00:57,3.3803,-59.7968,88.95,54,53,7.4
45,Aktau,KZ,2021-12-09 16:00:57,43.65,51.2,48.78,88,99,18.54
46,Qaanaaq,GL,2021-12-09 15:59:06,77.484,-69.3632,1.18,85,69,6.91
47,Fukue,JP,2021-12-09 16:00:58,32.6881,128.8419,58.86,67,100,2.71
48,Barrow,US,2021-12-09 15:54:20,71.2906,-156.7887,10.42,85,90,11.5
49,Hastings,GB,2021-12-09 16:01:00,50.8552,0.5729,48.2,71,94,11.27
50,Tazovskiy,RU,2021-12-09 16:01:00,67.4667,78.7,-11.6,98,12,8.61
51,Tura,IN,2021-12-09 16:01:01,25.5198,90.2201,63.86,85,46,2.91
52,Saskylakh,RU,2021-12-09 15:58:54,71.9167,114.0833,-12.57,96,100,8.79
53,Butaritari,KI,2021-12-09 15:59:29,3.0707,172.7902,81.54,79,95,10.87
54,Clyde River,CA,2021-12-09 15:59:39,70.4692,-68.5914,-9.17,84,87,4.61
55,Ust-Tsilma,RU,2021-12-09 16:01:02,65.441,52.1498,-0.78,100,94,1.77
56,Oriximina,BR,2021-12-09 15:59:37,-1.7656,-55.8661,87.6,63,94,4.65
57,Tieli,CN,2021-12-09 16:01:02,46.95,128.05,31.73,87,100,8.52
58,Port-Gentil,GA,2021-12-09 16:01:03,-0.7193,8.7815,81.93,76,53,7.16
59,Taltal,CL,2021-12-09 15:59:56,-25.4,-70.4833,66.61,69,22,8.37
60,Kitob,UZ,2021-12-09 16:01:03,39.0843,66.8332,45.18,16,3,5.06
61,Albany,US,2021-12-09 15:55:03,42.6001,-73.9662,32.16,68,68,1.99
62,Nanortalik,GL,2021-12-09 16:01:04,60.1432,-45.2371,29.7,89,100,25.41
63,Rikitea,PF,2021-12-09 15:58:48,-23.1203,-134.9692,74.95,74,85,19.04
64,Birin,NP,2021-12-09 16:01:04,26.8865,88.0718,50.65,79,9,3.89
65,Yulara,AU,2021-12-09 16:01:04,-25.2406,130.9889,74.71,21,3,17.18
66,Edd,ER,2021-12-09 16:01:05,13.9297,41.6925,82.24,62,0,10.92
67,Leningradskiy,RU,2021-12-09 15:58:56,69.3833,178.4167,-9.63,95,100,20.2
68,Hailey,US,2021-12-09 16:01:05,43.5196,-114.3153,24.66,58,1,0.0
69,Saint-Philippe,RE,2021-12-09 15:59:05,-21.3585,55.7679,80.19,80,58,12.33
70,Ugoofaaru,MV,2021-12-09 16:01:06,5.6667,73.0,82.17,74,95,9.82
71,San Vicente,AR,2021-12-09 16:01:06,-26.6167,-54.1333,89.31,17,0,3.18
72,Setermoen,NO,2021-12-09 16:01:06,68.861,18.3486,10.44,79,42,7.99
73,Bethel,US,2021-12-09 16:00:00,41.3712,-73.414,36.05,67,61,1.01
74,Kupang,ID,2021-12-09 16:01:07,-10.1667,123.5833,78.91,85,82,2.17
75,Geraldton,AU,2021-12-09 16:00:26,-28.7667,114.6,70.21,78,90,11.5
76,Hermanus,ZA,2021-12-09 15:58:47,-34.4187,19.2345,77.9,84,99,15.3
77,Malakal,SS,2021-12-09 16:01:07,9.5334,31.6605,87.93,22,0,5.99
78,Hilo,US,2021-12-09 15:59:44,19.7297,-155.09,70.79,43,90,0.0
79,Castro,BR,2021-12-09 16:00:20,-24.7911,-50.0119,74.26,35,0,4.65
80,Tabas,IR,2021-12-09 16:01:08,33.5959,56.9244,57.69,21,0,2.24
81,Raymond,US,2021-12-09 16:01:08,43.9015,-70.4703,33.82,71,14,4.12
82,Cockburn Town,TC,2021-12-09 15:58:57,21.4612,-71.1419,78.76,73,40,6.91
83,Sambava,MG,2021-12-09 16:01:08,-14.2667,50.1667,77.88,74,100,8.19
84,Hornepayne,CA,2021-12-09 16:01:09,49.2138,-84.7705,10.98,82,100,10.29
85,Pimentel,PE,2021-12-09 16:01:09,-6.8367,-79.9342,70.97,75,82,9.82
86,Dikson,RU,2021-12-09 15:59:23,73.5069,80.5464,-20.7,100,36,6.38
87,Bambous Virieux,MU,2021-12-09 15:59:24,-20.3428,57.7575,80.85,65,20,8.05
88,Aitape,PG,2021-12-09 16:01:09,-3.1374,142.3475,78.53,88,100,4.41
89,San Patricio,US,2021-12-09 15:59:51,28.017,-97.5169,78.08,81,97,12.28
90,Katsuura,JP,2021-12-09 15:59:19,35.1333,140.3,51.19,76,28,14.92
91,New Norfolk,AU,2021-12-09 15:59:24,-42.7826,147.0587,53.92,71,82,1.48
92,Narsaq,GL,2021-12-09 15:59:25,60.9167,-46.05,14.16,83,33,3.78
93,Saint Anthony,US,2021-12-09 16:00:30,45.0205,-93.218,33.73,77,90,5.01
94,Busselton,AU,2021-12-09 15:59:13,-33.65,115.3333,63.18,93,90,6.22
95,Ilulissat,GL,2021-12-09 15:58:52,69.2167,-51.1,9.66,65,37,9.01
96,Sao Joao Da Barra,BR,2021-12-09 16:01:10,-21.6403,-41.0511,78.24,63,4,10.56
97,Gigmoto,PH,2021-12-09 16:01:11,13.7796,124.39,78.6,85,100,16.91
98,Victoria,HK,2021-12-09 15:58:53,22.2855,114.1577,68.32,78,1,1.99
99,Puerto Ayora,EC,2021-12-09 15:59:30,-0.7393,-90.3518,73.36,90,76,3.0
100,The Valley,AI,2021-12-09 16:01:11,18.217,-63.0578,83.1,71,3,17.6
101,Namibe,AO,2021-12-09 15:59:12,-15.1961,12.1522,75.83,69,0,26.46
102,Sorland,NO,2021-12-09 16:01:12,67.667,12.6934,26.67,67,100,13.02
103,Kaitangata,NZ,2021-12-09 15:58:47,-46.2817,169.8464,54.93,79,99,3.44
104,Port Lincoln,AU,2021-12-09 16:01:12,-34.7333,135.8667,55.99,74,21,12.17
105,Codrington,AU,2021-12-09 15:58:56,-38.2667,141.9667,53.94,80,86,11.86
106,San Carlos De Bariloche,AR,2021-12-09 15:57:32,-41.1456,-71.3082,69.55,37,20,3.44
107,Zhigansk,RU,2021-12-09 16:01:13,66.7697,123.3711,-14.67,95,100,19.13
108,Verkhnyaya Toyma,RU,2021-12-09 16:01:13,62.2349,44.9985,1.45,99,98,2.06
109,Half Moon Bay,US,2021-12-09 16:00:34,37.4636,-122.4286,51.98,80,90,5.99
110,Bhan,PK,2021-12-09 16:01:14,26.5583,67.7214,68.61,22,0,3.98
111,Kyaikto,MM,2021-12-09 16:01:14,17.3,97.0167,74.66,70,8,4.38
